优先级,SHA,日期,分类,类型,优化内容,Ascend价值,迁移策略,Patch冲突,工作量,风险,关键文件,迁移步骤,验证场景
P3,d35eba30,2026-07-08,test-ci,bugfix,"【变更概述】[Bugfix] 更新：Avoid leaking Pydantic repr tool_choice error message
【PR号】#47028
【变更类型】此提交为问题修复类型",low,auto-inherit,否,S,low-risk,"tests/entrypoints/openai/chat_completion/test_serving_chat.py, vllm/renderers/online_renderer.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,5d5fab00,2026-07-08,test-ci,bugfix,"【变更概述】[Bugfix] 修复：前端 修复 http_requests_total metric recording some 4xx errors as 5xx
【PR号】#44303
【变更类",low,auto-inherit,否,S,low-risk,"tests/entrypoints/serve/instrumentator/test_http_status_metrics.py, vllm/entrypoints/openai/api_server.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,2afa3f7e,2026-07-08,moe-fusion,performance,"【变更概述】[Perf] 新增：Minimax M3 - 支持 cross-layer allreduce-norm 融合
【PR号】#47631
【变更类型】此提交为性能优化类型
【变更文件】修改 ",medium,auto-inherit,否,S,medium-risk,"vllm/model_executor/layers/fused_moe/layer.py, vllm/model_executor/layers/fused_moe/runner/moe_runner.py, vllm/model_executor/models/deepseek_v2.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 moe-fusion 模块在 Ascend 行为一致
P2,80eb01e9,2026-07-08,model-architecture,bugfix,"【变更概述】[Bugfix] 更新：DSV4 TP16 garbage output
【PR号】#47493
【变更类型】此提交为问题修复类型
【变更文件】修改 vllm/models/deepsee",medium,auto-inherit,否,S,medium-risk,"vllm/models/deepseek_v4/attention.py, vllm/models/deepseek_v4/common/ops/cache_utils.py, vllm/models/deepseek_v4/compressor.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
skip,d9e57ea8,2026-07-08,test-ci,performance,"【变更概述】[ROCm] 优化：Perf MXFP8 dense-linear + grouped-MoE GEMM optimizations MiniMax-M3
【PR号】#46117
【变更类",none,skip,否,S,low-risk,"tests/kernels/test_minimax_m3_amd_ops.py, vllm/model_executor/kernels/linear/mxfp8/rocm_native.py, vllm/model_executor/layers/fused_moe/experts/mxfp8_native_moe.py",,
P2,2c17d33f,2026-07-09,attention-kv-cache,bugfix,"【变更概述】[Bugfix] 更新：ROCm Change AttentionCGSuppoort TritonMLA UNIFORM_SINGLE_TOKEN_DECODE
【PR号】#47144
",medium,auto-inherit,否,S,medium-risk,vllm/v1/attention/backends/mla/triton_mla.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 attention-kv-cache 模块在 Ascend 行为一致
P3,bc44f9fe,2026-07-09,moe-fusion,bugfix,"【变更概述】[ROCm] 修复：CI][MoE 修复 double-transpose 融合 w3 expert weights
【PR号】#47874
【变更类型】此提交为问题修复类型
【变更文件】",low,auto-inherit,否,S,low-risk,vllm/model_executor/layers/fused_moe/routed_experts.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,95d6d6f4,2026-07-09,test-ci,bugfix,"【变更概述】[Bugfix] 更新：Use int8 workspace FlashInfer MLA decode
【PR号】#48046
【变更类型】此提交为问题修复类型
【MRV2关联】此变更涉",medium,auto-inherit,否,S,medium-risk,"tests/kernels/attention/test_flashinfer_mla_decode.py, vllm/v1/attention/backends/mla/flashinfer_mla.py, vllm/v1/attention/backends/mla/flashinfer_mla_sparse.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P2,56da398d,2026-07-09,model-architecture,bugfix,"【变更概述】修复：修复 embed scaling + CUDA graphs Transformers modelling 后端
【PR号】#48010
【变更类型】此提交为问题修复类型
【变更文件",medium,auto-inherit,否,S,medium-risk,vllm/model_executor/models/transformers/base.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
skip,26831949,2026-07-09,attention-kv-cache,bugfix,"【变更概述】[ROCm] 修复：修复 pooling startup workspace lock
【PR号】#47912
【变更类型】此提交为问题修复类型
【MRV2关联】此变更涉及 Model R",none,skip,否,S,low-risk,"vllm/v1/attention/backends/rocm_attn.py, vllm/v1/attention/backends/triton_attn.py, vllm/v1/attention/ops/triton_prefill_attention.py",,
P3,6cf7b26b,2026-07-09,moe-fusion,bugfix,"【变更概述】[docs] 修复：修复 文档 build
【PR号】#48008
【变更类型】此提交为问题修复类型
【变更文件】修改 vllm/model_executor/layers/fused_m",low,auto-inherit,否,S,low-risk,"vllm/model_executor/layers/fused_moe/layer.py, vllm/v1/kv_offload/tiering/p2p/manager.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
